"S.No.","Local Body Code","Local Body Version","Local Body Name (In English)","Local Body Name (In Local)","Localbody Type Code","Local Body Type Name","Parent Localbody Code"
"118.0","259330","1","Mavatapis","Maratapia","11","Village Council","259326"
"119.0","259386","1","Meenakshi Ram Nagar","Meenakshi Ram Nagar","11","Village Council","259362"
"120.0","259357","1","Mildera","Mildera","11","Village Council","259326"
"121.0","259445","1","Minlana","Minlan","11","Village Council","259444"
"122.0","259434","1","Minyuk","Minyuk","11","Village Council","259426"
"123.0","259416","1","Mohreak/Kohreakap","Mohreak/Kohreakap","11","Village Council","259393"
"124.0","259408","1","Munak (Incl. Ponioo [Moul])","Munak (Incl. Ponioo [Moul])","11","Village Council","259393"
"125.0","259310","1","Mus","Mus","11","Village Council","259309"
"126.0","259366","1","Mus","Mus","11","Village Council","259362"
"127.0","259498","1","Navy Dera","Navy Dera","11","Village Council","259444"
"128.0","259368","1","Neang","Neang","11","Village Council","259362"
"129.0","259395","1","Neechetapu","NeecheTapu","11","Village Council","259393"
"130.0","259501","1","Not Yet Named – B","Not Yet Named – B","11","Village Council","259444"
"131.0","259502","1","Not Yet Named – C","Not Yet Named – C","11","Village Council","259444"
"132.0","259494","1","Not Yet Named (Near 27.9 Kms.)","Not Yet Named (Near 27.9 Kms.)","11","Village Council","259444"
"133.0","259377","1","Nroak/Chiniak","Nroak/Chiniak","11","Village Council","259362"
"134.0","259415","1","Nyicalang","Nyicalang","11","Village Council","259393"
"135.0","259420","1","Okiya/Chiya","Okiya/Chiya","11","Village Council","259393"
"136.0","259456","1","Olinch (Bombay)","Olinch (Bombay)","11","Village Council","259444"
"137.0","259396","1","Olipon (Alhinpon)","Olipon (Alhinpon)","11","Village Council","259393"
"138.0","259339","1","Ongulongho","Ongulongho","11","Village Council","259326"
"139.0","259460","1","Pahayo","Pahayo","11","Village Council","259444"
"140.0","259482","1","Patatiya","Patatiya","11","Village Council","259444"
"141.0","259507","1","Patisang","Patisang","11","Village Council","259444"
"142.0","259465","1","Pattia","Pattia","11","Village Council","259444"
"143.0","259367","1","Payak","Payak","11","Village Council","259362"
"144.0","259407","1","Payuha","Payuha","11","Village Council","259393"
"145.0","259463","1","Pea","PEA","11","Village Council","259444"
"146.0","259318","1","Perka","Perka","11","Village Council","259309"
"147.0","259394","1","Pilpillow","Pilpillow","11","Village Council","259393"
"148.0","259508","1","Pitayo","Pitayo","11","Village Council","259444"
