"S.No.","District Code","District Name","Sub-District Code","Sub-District Name","Village Code","Village Version","Village Name","Village Name","Village Category","Village Status","Census 2001 Code","Census 2011 Code"
"143","603","Nicobars","5917","Nancowry","645042","1","Kanahinot","","Rural","Inhabitant","00038700","645042"
"144","603","Nicobars","5917","Nancowry","645077","1","Kapanga*","","Rural","Un-Inhabitant","00042200","645077"
"145","603","Nicobars","5917","Nancowry","645139","1","Kapila*","","Rural","Un-Inhabitant","00048000","645139"
"146","603","Nicobars","5917","Nancowry","645110","1","Karan/Karav*","","Rural","Un-Inhabitant","00045100","645110"
"147","603","Nicobars","5917","Nancowry","645054","1","Katahuwa*","","Rural","Un-Inhabitant","00039900","645054"
"148","603","Nicobars","5917","Nancowry","645075","1","Kavatinpeu/Karahinpoh*","","Rural","Un-Inhabitant","00042000","645075"
"149","603","Nicobars","5917","Nancowry","645122","1","Knot","","Rural","Inhabitant","00046300","645122"
"150","603","Nicobars","5917","Nancowry","645134","1","Kuikua*","","Rural","Un-Inhabitant","00047500","645134"
"151","603","Nicobars","5917","Nancowry","645031","1","Kuitasuk","","Rural","Inhabitant","00037600","645031"
"152","603","Nicobars","5917","Nancowry","645061","1","Kulatapangia*","","Rural","Un-Inhabitant","00040600","645061"
"153","603","Nicobars","5917","Nancowry","645055","1","Kumikia*","","Rural","Un-Inhabitant","00040000","645055"
"154","603","Nicobars","5917","Nancowry","645078","1","Kupinga*","","Rural","Un-Inhabitant","00042300","645078"
"155","603","Nicobars","5917","Nancowry","645092","1","Lanuanga*","","Rural","Un-Inhabitant","00043300","645092"
"156","603","Nicobars","5917","Nancowry","645086","1","Lapat*","","Rural","Un-Inhabitant","00042700","645086"
"157","603","Nicobars","5917","Nancowry","645037","1","Luxi","","Rural","Inhabitant","00038200","645037"
"158","603","Nicobars","5917","Nancowry","645095","1","Malacca*","","Rural","Un-Inhabitant","00043600","645095"
"159","603","Nicobars","5917","Nancowry","645106","1","Manjula*","","Rural","Un-Inhabitant","00044700","645106"
"160","603","Nicobars","5917","Nancowry","645064","1","Mapayala*","","Rural","Un-Inhabitant","00040900","645064"
"161","603","Nicobars","5917","Nancowry","645112","1","Maru*","","Rural","Un-Inhabitant","00045300","645112"
"162","603","Nicobars","5917","Nancowry","645120","1","Masala Tapu*","","Rural","Un-Inhabitant","00046100","645120"
"163","603","Nicobars","5917","Nancowry","645049","1","Mavatapis/Maratapia*","","Rural","Un-Inhabitant","00039400","645049"
"164","603","Nicobars","5917","Nancowry","645081","1","Meenakshi Ram Nagar","","Rural","Inhabitant","","645081"
"165","603","Nicobars","5917","Nancowry","645079","1","Mildera","","Rural","Inhabitant","00042400","645079"
"166","603","Nicobars","5917","Nancowry","645041","1","Minyuk","","Rural","Inhabitant","00038600","645041"
"167","603","Nicobars","5917","Nancowry","645133","1","Mohreak/Kohreakap*","","Rural","Un-Inhabitant","00047400","645133"
"168","603","Nicobars","5917","Nancowry","645125","1","Munak Incl. Ponioo/Moul","","Rural","Inhabitant","00046600","645125"
"169","603","Nicobars","5917","Nancowry","645088","1","Mus*","","Rural","Un-Inhabitant","00042900","645088"
"170","603","Nicobars","5917","Nancowry","645090","1","Neang*","","Rural","Un-Inhabitant","00043100","645090"
"171","603","Nicobars","5917","Nancowry","645105","1","Neeche Tapu*","","Rural","Un-Inhabitant","00044600","645105"
"172","603","Nicobars","5917","Nancowry","645132","1","Nyicalang*","","Rural","Un-Inhabitant","00047300","645132"
