"Local Body Code","Local Body Version","Local Body Name (In English)","Local Body Name (In Local)","Local Body Type Code","Local Body Type Name","_Local Body Code","_Local Body Version","_Local Body Name (In English)","_Local Body Name (In Local)","_Local Body Type Code","_Local Body Type Name"
"259444","1","Littlenicobar&Greatnicobar","LittleNicobar&GreatNicobar","19","Tribal Council","259478","1","Kasintung","Kasintung","11","Village Council"
"259444","1","Littlenicobar&Greatnicobar","LittleNicobar&GreatNicobar","19","Tribal Council","259468","1","Katahu","Katahu","11","Village Council"
"259444","1","Littlenicobar&Greatnicobar","LittleNicobar&GreatNicobar","19","Tribal Council","259452","1","Kiyang","Kiyang","11","Village Council"
"259444","1","Littlenicobar&Greatnicobar","LittleNicobar&GreatNicobar","19","Tribal Council","259479","1","Koe","Koe","11","Village Council"
"259444","1","Littlenicobar&Greatnicobar","LittleNicobar&GreatNicobar","19","Tribal Council","259484","1","Kokeon","Kokeon","11","Village Council"
"259444","1","Littlenicobar&Greatnicobar","LittleNicobar&GreatNicobar","19","Tribal Council","259476","1","Kopen Heat","Kopen Heat","11","Village Council"
"259444","1","Littlenicobar&Greatnicobar","LittleNicobar&GreatNicobar","19","Tribal Council","259506","1","Lanaya","Lanaya","11","Village Council"
"259444","1","Littlenicobar&Greatnicobar","LittleNicobar&GreatNicobar","19","Tribal Council","259499","1","Lawful","Lawful","11","Village Council"
"259444","1","Littlenicobar&Greatnicobar","LittleNicobar&GreatNicobar","19","Tribal Council","259492","2","Laxmi Nagar","Laxmi Nagar","11","Village Council"
"259444","1","Littlenicobar&Greatnicobar","LittleNicobar&GreatNicobar","19","Tribal Council","259447","1","Makhahu (Makachua)","Makhahu (Makachua)","11","Village Council"
"259444","1","Littlenicobar&Greatnicobar","LittleNicobar&GreatNicobar","19","Tribal Council","259445","1","Minlana","Minlan","11","Village Council"
"259444","1","Littlenicobar&Greatnicobar","LittleNicobar&GreatNicobar","19","Tribal Council","259498","1","Navy Dera","Navy Dera","11","Village Council"
"259444","1","Littlenicobar&Greatnicobar","LittleNicobar&GreatNicobar","19","Tribal Council","259501","1","Not Yet Named – B","Not Yet Named – B","11","Village Council"
"259444","1","Littlenicobar&Greatnicobar","LittleNicobar&GreatNicobar","19","Tribal Council","259502","1","Not Yet Named – C","Not Yet Named – C","11","Village Council"
"259444","1","Littlenicobar&Greatnicobar","LittleNicobar&GreatNicobar","19","Tribal Council","259494","1","Not Yet Named (Near 27.9 Kms.)","Not Yet Named (Near 27.9 Kms.)","11","Village Council"
"259444","1","Littlenicobar&Greatnicobar","LittleNicobar&GreatNicobar","19","Tribal Council","259456","1","Olinch (Bombay)","Olinch (Bombay)","11","Village Council"
"259444","1","Littlenicobar&Greatnicobar","LittleNicobar&GreatNicobar","19","Tribal Council","259460","1","Pahayo","Pahayo","11","Village Council"
"259444","1","Littlenicobar&Greatnicobar","LittleNicobar&GreatNicobar","19","Tribal Council","259482","1","Patatiya","Patatiya","11","Village Council"
"259444","1","Littlenicobar&Greatnicobar","LittleNicobar&GreatNicobar","19","Tribal Council","259507","1","Patisang","Patisang","11","Village Council"
"259444","1","Littlenicobar&Greatnicobar","LittleNicobar&GreatNicobar","19","Tribal Council","259465","1","Pattia","Pattia","11","Village Council"
"259444","1","Littlenicobar&Greatnicobar","LittleNicobar&GreatNicobar","19","Tribal Council","259463","1","Pea","PEA","11","Village Council"
"259444","1","Littlenicobar&Greatnicobar","LittleNicobar&GreatNicobar","19","Tribal Council","259508","1","Pitayo","Pitayo","11","Village Council"
"259444","1","Littlenicobar&Greatnicobar","LittleNicobar&GreatNicobar","19","Tribal Council","259453","1","Pulloullo","Puloulo","11","Village Council"
"259444","1","Littlenicobar&Greatnicobar","LittleNicobar&GreatNicobar","19","Tribal Council","259488","1","Pulobaha","Pulobaha","11","Village Council"
