State Code,State Name (In English),District Code,District Name (In English),District Name (Local),District Version,District Census 2001 Code,District Census 2011 Code,Sub District Code,Sub District Name,Sub District Name (Local),Subdistrict Version,Sub District Census 2001 Code,Sub District Census 2011 Code,Development Block Code,Development Block Name (In English),Development Block Name (Local),Development Block Version,Village Code,Village Name (In English),Village Name (Local),Village Category,Village Status,Village Census 2001 Code,Village Census 2011 Code
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5918,Great Nicobar,,1,0,5918,6498,Campbell Bay,,5,645180,Pulobhabi,,Rural,Un-Inhabitant,52000.0,645180
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5918,Great Nicobar,,1,0,5918,6498,Campbell Bay,,5,645153,Pulobha/Pulobahan,,Rural,Inhabitant,49400.0,645153
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5918,Great Nicobar,,1,0,5918,6498,Campbell Bay,,5,645171,Pulokunji,,Rural,Un-Inhabitant,51100.0,645171
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5918,Great Nicobar,,1,0,5918,6498,Campbell Bay,,5,645140,Pulomilo,,Rural,Inhabitant,48100.0,645140
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5918,Great Nicobar,,1,0,5918,6498,Campbell Bay,,5,645158,Pulopanja,,Rural,Inhabitant,49900.0,645158
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5918,Great Nicobar,,1,0,5918,6498,Campbell Bay,,5,645185,Pulopucca,,Rural,Un-Inhabitant,52500.0,645185
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5918,Great Nicobar,,1,0,5918,6498,Campbell Bay,,5,645146,Pulotalia/Pulotohio,,Rural,Un-Inhabitant,48700.0,645146
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5918,Great Nicobar,,1,0,5918,6498,Campbell Bay,,5,645201,Ranganathan Bay,,Rural,Un-Inhabitant,54100.0,645201
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5918,Great Nicobar,,1,0,5918,6498,Campbell Bay,,5,645173,Renguang,,Rural,Un-Inhabitant,51300.0,645173
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5918,Great Nicobar,,1,0,5918,6498,Campbell Bay,,5,645191,Sastri Nagar,,Rural,Inhabitant,53100.0,645191
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5918,Great Nicobar,,1,0,5918,6498,Campbell Bay,,5,645198,Shompen Hut,,Rural,Un-Inhabitant,53800.0,645198
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5918,Great Nicobar,,1,0,5918,6498,Campbell Bay,,5,645172,Shompen Village-A,,Rural,Un-Inhabitant,51200.0,645172
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5918,Great Nicobar,,1,0,5918,6498,Campbell Bay,,5,645176,Shompen Village-B,,Rural,Un-Inhabitant,51600.0,645176
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5918,Great Nicobar,,1,0,5918,6498,Campbell Bay,,5,645208,Trinket Bay,,Rural,Un-Inhabitant,54700.0,645208
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5918,Great Nicobar,,1,0,5918,6498,Campbell Bay,,5,645194,Vijoy Nagar,,Rural,Inhabitant,53400.0,645194
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5917,Nancowry,,1,0,5917,6500,Nancowrie,,1,645030,Alhiat,,Rural,Inhabitant,37500.0,645030
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5917,Nancowry,,1,0,5917,6500,Nancowrie,,1,645053,Alhitoth/Alhiloth*,,Rural,Un-Inhabitant,39800.0,645053
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5917,Nancowry,,1,0,5917,6500,Nancowrie,,1,645094,Al-Hit-Touch/Balu Basti,,Rural,Inhabitant,43500.0,645094
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5917,Nancowry,,1,0,5917,6500,Nancowrie,,1,645085,Alipa/Alips*,,Rural,Inhabitant,42600.0,645085
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5917,Nancowry,,1,0,5917,6500,Nancowrie,,1,645052,Alkaipoh/Alkripoh*,,Rural,Un-Inhabitant,39700.0,645052
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5917,Nancowry,,1,0,5917,6500,Nancowrie,,1,645115,Alointung*,,Rural,Un-Inhabitant,45600.0,645115
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5917,Nancowry,,1,0,5917,6500,Nancowrie,,1,645035,Aloora*,,Rural,Un-Inhabitant,38000.0,645035
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5917,Nancowry,,1,0,5917,6500,Nancowrie,,1,645034,Aloorang,,Rural,Inhabitant,37900.0,645034
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5917,Nancowry,,1,0,5917,6500,Nancowrie,,1,645117,Alpintu/Alpintung*,,Rural,Inhabitant,45800.0,645117
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5917,Nancowry,,1,0,5917,6500,Nancowrie,,1,645101,Alreak*,,Rural,Un-Inhabitant,44200.0,645101
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5917,Nancowry,,1,0,5917,6500,Nancowrie,,1,645076,Alsama*,,Rural,Un-Inhabitant,42100.0,645076
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5917,Nancowry,,1,0,5917,6500,Nancowrie,,1,645074,Altaful*,,Rural,Un-Inhabitant,41900.0,645074
