"S.No.","District Code","District Name","District Census 2011 Code","District Census 2001 Code","Subdistrict Code","Subdistrict Name","Subdistrict Census 2011 Code","Subdistrict Census 2001 Code","Village Code","Village Name","Village Census 2011 Code","Village Census 2001 Code","Local Body Code","Local Body Name"
"151","603","Nicobars","638","02","5917","Nancowry","05917","0","645031","Kuitasuk","645031","00037600","",""
"152","603","Nicobars","638","02","5917","Nancowry","05917","0","645061","Kulatapangia*","645061","00040600","",""
"153","603","Nicobars","638","02","5917","Nancowry","05917","0","645055","Kumikia*","645055","00040000","",""
"154","603","Nicobars","638","02","5917","Nancowry","05917","0","645078","Kupinga*","645078","00042300","",""
"155","603","Nicobars","638","02","5917","Nancowry","05917","0","645092","Lanuanga*","645092","00043300","",""
"156","603","Nicobars","638","02","5917","Nancowry","05917","0","645086","Lapat*","645086","00042700","",""
"157","603","Nicobars","638","02","5917","Nancowry","05917","0","645037","Luxi","645037","00038200","",""
"158","603","Nicobars","638","02","5917","Nancowry","05917","0","645095","Malacca*","645095","00043600","",""
"159","603","Nicobars","638","02","5917","Nancowry","05917","0","645106","Manjula*","645106","00044700","",""
"160","603","Nicobars","638","02","5917","Nancowry","05917","0","645064","Mapayala*","645064","00040900","",""
"161","603","Nicobars","638","02","5917","Nancowry","05917","0","645112","Maru*","645112","00045300","",""
"162","603","Nicobars","638","02","5917","Nancowry","05917","0","645120","Masala Tapu*","645120","00046100","",""
"163","603","Nicobars","638","02","5917","Nancowry","05917","0","645049","Mavatapis/Maratapia*","645049","00039400","",""
"164","603","Nicobars","638","02","5917","Nancowry","05917","0","645081","Meenakshi Ram Nagar","645081","","",""
"165","603","Nicobars","638","02","5917","Nancowry","05917","0","645079","Mildera","645079","00042400","",""
"166","603","Nicobars","638","02","5917","Nancowry","05917","0","645041","Minyuk","645041","00038600","",""
"167","603","Nicobars","638","02","5917","Nancowry","05917","0","645133","Mohreak/Kohreakap*","645133","00047400","",""
"168","603","Nicobars","638","02","5917","Nancowry","05917","0","645125","Munak Incl. Ponioo/Moul","645125","00046600","",""
"169","603","Nicobars","638","02","5917","Nancowry","05917","0","645088","Mus*","645088","00042900","",""
"170","603","Nicobars","638","02","5917","Nancowry","05917","0","645090","Neang*","645090","00043100","",""
"171","603","Nicobars","638","02","5917","Nancowry","05917","0","645105","Neeche Tapu*","645105","00044600","",""
"172","603","Nicobars","638","02","5917","Nancowry","05917","0","645132","Nyicalang*","645132","00047300","",""
"173","603","Nicobars","638","02","5917","Nancowry","05917","0","645107","Okiya/Chiya*","645107","00044800","",""
"174","603","Nicobars","638","02","5917","Nancowry","05917","0","645108","Olinpon/Alhinpon*","645108","00044900","",""
"175","603","Nicobars","638","02","5917","Nancowry","05917","0","645058","Ongulongho*","645058","00040300","",""
"176","603","Nicobars","638","02","5917","Nancowry","05917","0","645089","Payak*","645089","00043000","",""
"177","603","Nicobars","638","02","5917","Nancowry","05917","0","645124","Payuha","645124","00046500","",""
"178","603","Nicobars","638","02","5917","Nancowry","05917","0","645104","Pilpilow","645104","00044500","",""
"179","603","Nicobars","638","02","5917","Nancowry","05917","0","645032","Raihion","645032","00037700","",""
"180","603","Nicobars","638","02","5917","Nancowry","05917","0","645126","Ramzoo*(Ramjaw)","645126","00046700","",""
"181","603","Nicobars","638","02","5917","Nancowry","05917","0","645070","Reakomlong*","645070","00041500","",""
"182","603","Nicobars","638","02","5917","Nancowry","05917","0","645040","Safedbalu*","645040","00038500","",""
"183","603","Nicobars","638","02","5917","Nancowry","05917","0","645135","Safedbalu*","645135","00047600","",""
"184","603","Nicobars","638","02","5917","Nancowry","05917","0","645051","Sanaya*","645051","00039600","",""
"185","603","Nicobars","638","02","5917","Nancowry","05917","0","645071","Sonomkuwa*","645071","00041600","",""
"186","603","Nicobars","638","02","5917","Nancowry","05917","0","645028","Tahaila","645028","00037300","",""
"187","603","Nicobars","638","02","5917","Nancowry","05917","0","645114","Tanae*","645114","00045500","",""
