"State Code","State Name (In English)","District Code","District Name (In English)","Development Block Code","Development Block Name (In English)","Village Code","Village Name (In English)"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645102","Hintona*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645048","Hitlat*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645136","Hockook*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645063","Hoipoh*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645060","Hontona*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645057","Hutnyak*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645123","Inmae*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645099","Inroak/Chinlak*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645100","Itoi*(Hitui)"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645047","Jansin*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645082","Japan Tikri"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645046","Jhoola*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645017","Kakana"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645038","Kalara*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645043","Kalasi"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645068","Kalminikum/Kalmenkam*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645127","Kamorta/Kalatapu(Incl.Sanuh)"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645056","Kamriak*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645042","Kanahinot"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645077","Kapanga*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645139","Kapila*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645110","Karan/Karav*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645054","Katahuwa*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645075","Kavatinpeu/Karahinpoh*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645122","Knot"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645134","Kuikua*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645031","Kuitasuk"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645061","Kulatapangia*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645055","Kumikia*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645078","Kupinga*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645092","Lanuanga*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645086","Lapat*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645037","Luxi"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645106","Manjula*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645064","Mapayala*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645112","Maru*"
